CODIGO_ENTIDAD,CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,NOMBRE_ENTIDAD,SIGLA_ENTIDAD,RUC_ENTIDAD,DIRECCION_ENTIDAD,...10
11111,120203,JUNIN,CONCEPCION,ANDAMARCA,Municipalidad Distrital de Andamarca,MD-ANDAMARCA,20191908547,Plaza Principal,
11112,120204,JUNIN,CONCEPCION,CHAMBARA,Municipalidad Distrital de Chambará,MD-CHAMBARA,20191894490,Parque principal s/n,
11113,120205,JUNIN,CONCEPCION,COCHAS,Municipalidad Distrital de Cochas - Junin,MD-COCHAS,20201188149,Plaza principal,
11114,120206,JUNIN,CONCEPCION,COMAS,Municipalidad Distrital de Comas,NULL,20221558902,Plaza principal Centro Civico s/n,
11115,120207,JUNIN,CONCEPCION,HEROINAS TOLEDO,Municipalidad Distrital de Heroinas Toledo,MDHT,,Ramon Castilla s/n,
11116,120208,JUNIN,CONCEPCION,MANZANARES,Municipalidad Distrital de Manzanares,MDManzanares,20201188220,Bolognesi plaza principal s/n,
11117,120209,JUNIN,CONCEPCION,MARISCAL CASTILLA,Municipalidad Distrital de Mariscal Castilla,MDMC,,Av. Parra del Riego s/n,
11118,120210,JUNIN,CONCEPCION,MATAHUASI,Municipalidad Distrital de Matahuasi,NULL,20205308556,Esperanza s/n,
11119,120211,JUNIN,CONCEPCION,MITO,Municipalidad Distrital de Mito,MDM,20201188068,Nicolas Pierola 366,
11120,120212,JUNIN,CONCEPCION,NUEVE DE JULIO,Municipalidad Distrital de Nueve de Julio,NULL,20191894228,Av. España 11,
11121,120213,JUNIN,CONCEPCION,ORCOTUNA,Municipalidad Distrital de Orcotuna,MDO,20205376390,Jr. Lima N° 100,
11122,120214,JUNIN,CONCEPCION,SAN JOSE DE QUERO,Municipalidad Distrital de San José de Quero,MDSJQ,20191894571,PLAZA PRINCIPAL S/N,
11123,120215,JUNIN,CONCEPCION,SANTA ROSA DE OCOPA,Municipalidad Distrital de Santa Rosa de Ocopa,NULL,20199260791,Plaza principal s/n,
11125,120302,JUNIN,CHANCHAMAYO,PERENE,Municipalidad Distrital de Perene,MDP,20195238961,Jr. 22 de Octubre 559,
